timestamp,title,dataset_name,total_records,total_columns,total_cells,null_cells,data_completeness_rate,total_rules_executed,overall_health_score,overall_health_status,overall_completeness,overall_uniqueness,overall_consistency,combined_quality_score,critical_elements_count,other_fields_count,excellent_rules_count,good_rules_count,fair_rules_count,poor_rules_count,excellent_rules_percentage,good_rules_percentage,fair_rules_percentage,poor_rules_percentage,columns_integer_count,columns_str_count,columns_decimal_count,critical_avg_completeness,critical_avg_uniqueness,critical_avg_consistency,other_avg_completeness,other_avg_uniqueness,other_avg_consistency
2026-03-03T10:53:14.174823,Sample Data Quality Report,Sample Business Data,1000,6,6000,1375,77.1,6,93.8,Excellent,77.1,46.8,80.8,68.2,2,4,5,1,0,0,83.3,16.7,0.0,0.0,1,3,2,94.6,94.6,97.5,68.3,22.9,72.5
2026-03-03T10:54:50.372153,Sample Data Quality Report,Sample Business Data,1000,6,6000,1375,77.1,6,93.8,Excellent,77.1,46.8,80.8,68.2,2,4,5,1,0,0,83.3,16.7,0.0,0.0,1,3,2,94.6,94.6,97.5,68.3,22.9,72.5
